datetime,open,high,low,close,volume
11/07/2021,61529.76,63309.57,61406.56,63302.78,14937.9
11/08/2021,63302.78,67755.46,63302.78,67549.14,39774.17
11/09/2021,67549.14,68514.26,66312.42,66939.24,32745.53
11/10/2021,66939.24,68978.64,63196.25,64926.06,50591.31
11/11/2021,64926.06,65585.68,64130.37,64820.8,21475.67
11/12/2021,64820.8,65466.0,62315.02,64156.3,32742.19
11/13/2021,64156.3,64967.34,63406.98,64409.56,12719.98
11/14/2021,64409.56,65509.06,63616.33,65509.06,14680.72
11/15/2021,65509.06,66335.42,63442.58,63614.06,25263.23
11/16/2021,63614.06,63614.53,58745.71,60108.9,61509.16
11/17/2021,60108.9,60837.09,58566.05,60365.6,43164.9
11/18/2021,60365.6,60964.37,56535.61,56930.68,63523.43
11/19/2021,56930.68,58403.92,55655.03,58136.22,36833.38
11/20/2021,58136.22,59901.9,57450.63,59769.66,16773.71
11/21/2021,59769.66,60058.65,58575.6,58700.83,14990.7
11/22/2021,58700.83,59391.98,55673.01,56303.06,41371.1
11/23/2021,56303.06,57873.77,55485.59,57566.6,37871.22
11/24/2021,57566.6,57740.34,55899.88,57175.09,28738.13
11/25/2021,57175.09,59437.04,57056.64,58966.99,24221.47
11/26/2021,58966.99,59201.95,53575.54,53788.22,60064.72
11/27/2021,53788.22,55316.65,53668.95,54805.03,18504.73
11/28/2021,54805.03,57475.26,53436.05,57331.41,21562.34
11/29/2021,57331.41,58898.57,56752.37,57839.55,29291.8
11/30/2021,57839.55,59226.33,55931.33,56975.35,41466.86
12/01/2021,56975.35,59096.53,56505.99,57227.97,36078.24
12/02/2021,57227.97,57409.48,55850.4,56522.76,30214.7
12/03/2021,56522.76,57639.15,52493.23,53663.25,44903.19
12/04/2021,53663.25,53871.2,43563.07,49243.39,89255.49
12/05/2021,49243.39,49764.31,47840.63,49465.5,42264.26
12/06/2021,49465.5,50986.02,47260.2,50552.83,49875.62
12/07/2021,50552.83,51953.27,50083.33,50633.01,29306.55
12/08/2021,50633.01,51215.6,48711.85,50513.04,25732.2
12/09/2021,50513.04,50829.41,47347.73,47593.85,34472.44
12/10/2021,47593.85,50047.85,46989.42,47191.14,39527.74
12/11/2021,47191.14,49504.07,46829.85,49398.4,24394.48
12/12/2021,49398.4,50807.75,48689.25,50109.99,21546.75
12/13/2021,50109.99,50215.42,45800.52,46731.03,49444.13
12/14/2021,46731.03,48665.63,46320.4,48387.69,34838.49
12/15/2021,48387.69,49499.91,46562.1,48885.05,44270.94
12/16/2021,48885.05,49451.4,47546.15,47635.92,26205.68
12/17/2021,47635.92,48004.37,45505.02,46164.14,37546.89
12/18/2021,46164.14,47356.67,45522.92,46861.62,18781.81
12/19/2021,46861.62,48286.29,46459.66,46697.13,21907.14
12/20/2021,46697.13,47495.72,45586.49,46913.54,32678.5
12/21/2021,46913.54,49334.04,46661.88,48917.48,31921.06
12/22/2021,48917.48,49581.41,48460.43,48614.97,20998.03
12/23/2021,48614.97,51382.88,48062.25,50830.2,30734.43
12/24/2021,50830.2,51863.56,50449.36,50840.36,21669.58
12/25/2021,50840.36,51158.56,50199.56,50431.63,11532.27
12/26/2021,50431.63,51283.7,49485.62,50790.88,14663.26
12/27/2021,50790.88,52079.46,50481.26,50714.73,21873.37
12/28/2021,50714.73,50718.53,47317.78,47536.39,40699.4
12/29/2021,47536.39,48145.34,46107.79,46471.7,33749.8
12/30/2021,46471.7,47917.89,45964.28,47129.66,39311.18
12/31/2021,47129.66,48573.22,45665.44,46197.31,34737.79
01/01/2022,46197.31,47950.29,46196.03,47737.35,16697.92
01/02/2022,47737.35,47979.26,46666.18,47306.41,13025.66
01/03/2022,47306.41,47572.23,45707.55,46450.79,21681.38
01/04/2022,46450.79,47529.48,45587.91,45824.54,29035.93
01/05/2022,45824.54,47067.18,42510.86,43432.51,47769.2
01/06/2022,43432.51,43779.23,42468.76,43094.54,36804.78
01/07/2022,43094.54,43138.79,40750.42,41543.79,51310.46
01/08/2022,41543.79,42306.77,40534.37,41686.67,27559.19
01/09/2022,41686.67,42800.66,41237.13,41869.6,21486.68
01/10/2022,41869.6,42251.07,39667.6,41832.59,51976.97
01/11/2022,41832.59,43122.32,41279.45,42743.03,36554.37
01/12/2022,42743.03,44293.83,42471.08,43919.67,31859.05
01/13/2022,43919.67,44442.67,42334.75,42575.61,29159.4
01/14/2022,42575.61,43467.05,41785.44,43089.83,27290.3
01/15/2022,43089.83,43811.94,42589.82,43088.74,14075.12
01/16/2022,43088.74,43484.21,42617.07,43100.36,12615.04
01/17/2022,43100.36,43198.05,41571.67,42224.38,20310.91
01/18/2022,42224.38,42682.77,41301.01,42372.75,26287.26
01/19/2022,42372.75,42575.28,41144.83,41674.8,32436.62
01/20/2022,41674.8,43513.14,40564.32,40697.03,35135.79
01/21/2022,40697.03,41116.66,35494.42,36469.3,94195.63
01/22/2022,36469.3,36811.86,34130.35,35075.92,68447.95
01/23/2022,35075.92,36539.19,34648.38,36288.15,39599.36
01/24/2022,36288.15,37469.19,32990.72,36702.79,94597.7
01/25/2022,36702.79,37555.35,35732.05,36975.99,44562.17
01/26/2022,36975.99,38930.36,36275.92,36829.37,57460.0
01/27/2022,36829.37,37242.79,35543.94,37189.85,46006.99
01/28/2022,37189.85,38021.06,36176.78,37744.7,38853.31
01/29/2022,37744.7,38728.29,37343.45,38184.86,24097.29
01/30/2022,38184.86,38364.51,37377.53,37908.44,17354.8
01/31/2022,37908.44,38769.81,36660.7,38494.66,34716.41
