bar_index,date,open,high,low,close,upper_boundary,lower_boundary,go_long_signal,go_short_signal,pending_signal,action_executed,execution_price,reason,position_size,position_avg_price,equity,unrealized_pnl,total_equity
1166,2018-03-12,9602.929688,9937.500000,8956.429688,9205.120117,11325.664551,7880.194824,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,23157.060233,143158.074408
1167,2018-03-13,9173.040039,9470.379883,8958.190430,9194.849609,10768.574707,7577.505371,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,23263.905228,143264.919404
1168,2018-03-14,9214.650391,9355.849609,8068.589844,8269.809570,10810.185059,7619.115723,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,32887.178029,152888.192205
1169,2018-03-15,8290.759766,8428.349609,7783.049805,8300.860352,10108.514648,6473.004883,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,32564.154024,152565.168199
1170,2018-03-16,8322.910156,8585.150391,8005.310059,8338.349609,10283.435059,6362.385254,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,32174.149981,152175.164156
1171,2018-03-17,8321.910156,8346.530273,7812.819824,7916.879883,10282.435059,6361.385254,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,36558.736577,156559.750752
1172,2018-03-18,7890.520020,8245.509766,7397.990234,8223.679688,9851.044922,5929.995117,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,33367.071253,153368.085428
1173,2018-03-19,8344.120117,8675.870117,8182.399902,8630.650391,10497.174805,6191.065430,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,29133.319272,149134.333447
1174,2018-03-20,8619.669922,9051.019531,8389.889648,8913.469727,10772.724609,6466.615234,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,26191.124871,146192.139047
1175,2018-03-21,8937.480469,9177.370117,8846.330078,8929.280273,11090.535156,6784.425781,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,26026.646363,146027.660538
1176,2018-03-22,8939.440430,9100.709961,8564.900391,8728.469727,11092.495117,6786.385742,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,28115.696126,148116.710301
1177,2018-03-23,8736.250000,8879.620117,8360.620117,8879.620117,10889.304688,6583.195312,False,False,,HOLD,,,-10.403088,11431.099609,120001.014175,26543.265332,146544.279507
