date,action,price,size,commission,equity,comment,pnl,net_pnl
2022-09-13,CLOSE_Long,20296.70703125,164.33071293381516,3335.3723366540917,3364014.0914609064,Reverse to Short,-178207.67134085897,-181543.04367751305
2022-09-13,ENTRY_SHORT,20296.70703125,164.08444706910626,3330.3739505462977,3360683.7175103603,Short,,
2022-12-13,CLOSE_Short,17781.318359375,164.08444706910626,2917.6377911577947,3770502.2391077057,Reverse to Long,412736.15938850294,409818.5215973451
2022-12-13,ENTRY_LONG,17781.318359375,209.92803465264728,3732.7972167166286,3766769.441890989,Long,,
2022-12-16,CLOSE_LONG,16600.764026504676,209.92803465264728,3484.965765816494,3515453.025225038,Stop Loss: SL Long,-247831.45090013434,-251316.41666595082
2023-01-12,ENTRY_LONG,18869.587890625,184.43956037333007,3480.298494972788,3511972.7267300654,Long,,
2023-06-05,CLOSE_Long,25760.09765625,184.43956037333007,4751.1810868928005,4778104.137563186,Reverse to Short,1270882.5919200126,1266131.4108331199
2023-06-05,ENTRY_SHORT,25760.09765625,183.62985883478854,4730.323096187554,4773373.814466998,Short,,
2023-06-06,CLOSE_Short,27238.783203125,183.62985883478854,5001.853914421253,4496841.142318878,Reverse to Long,-271530.8182336983,-276532.67214811954
2023-06-06,ENTRY_LONG,27238.783203125,163.43875193312394,4451.8727308956895,4492389.269587982,Long,,
2023-06-14,CLOSE_LONG,25210.473351053464,163.43875193312394,4120.368300139459,4156764.470531612,Stop Loss: SL Long,-331504.430756231,-335624.79905637045
2023-06-20,ENTRY_LONG,28327.48828125,145.2722099809375,4115.196825826297,4152649.273705786,Long,,
2023-07-14,CLOSE_Long,30334.068359375,145.2722099809375,4406.697148279238,4439742.899010448,Reverse to Short,291500.322452941,287093.62530466175
2023-07-14,ENTRY_SHORT,30334.068359375,144.89798789755562,4395.345470020344,4435347.553540427,Short,,
2023-08-08,CLOSE_Short,29765.4921875,144.89798789755562,4312.959926749161,4513420.136884861,Reverse to Long,82385.54327118225,78072.5833444331
2023-08-08,ENTRY_LONG,29765.4921875,150.11631278828528,4468.285935516012,4508951.850949344,Long,,
2023-08-17,CLOSE_LONG,28034.96986863151,150.11631278828528,4208.506305809641,4244963.7149371635,Stop Loss: SL Long,-259779.62970637108,-263988.1360121807
2023-10-16,ENTRY_LONG,28519.466796875,147.35598346629254,4202.514077787791,4240761.200859375,Long,,
2023-11-16,CLOSE_Long,36154.76953125,147.35598346629254,5327.621621274493,5360541.122724801,Reverse to Short,1125107.5434867006,1119779.9218654262
2023-11-16,ENTRY_SHORT,36154.76953125,146.78383461718818,5306.935711497555,5355234.187013304,Short,,
2023-11-22,CLOSE_Short,37432.33984375,146.78383461718818,5494.462380959383,5162213.055170515,Reverse to Long,-187526.6694618294,-193021.1318427888
2023-11-22,ENTRY_LONG,37432.33984375,136.52875951520605,5110.590924618809,5157102.464245896,Long,,
2024-01-03,CLOSE_Long,42848.17578125,136.52875951520605,5850.008286903558,5890669.81824374,Reverse to Short,739417.362284748,733567.3539978444
2024-01-03,ENTRY_SHORT,42848.17578125,136.1029498626458,5831.763120061302,5884838.055123678,Short,,
2024-01-08,CLOSE_SHORT,47158.33021372299,136.1029498626458,6418.387852684435,5291794.934647862,Stop Loss: SL Short,-586624.7326231321,-593043.1204758165
2024-01-12,ENTRY_SHORT,42853.16796875,122.25180152659313,5238.876985301383,5286556.057662561,Short,,
2024-02-09,CLOSE_SHORT,46411.60341665427,122.25180152659313,5673.902129423769,4845857.01141075,Stop Loss: SL Short,-435025.14412238594,-440699.0462518097
2024-02-28,ENTRY_LONG,62504.7890625,76.75249390090113,4797.398441296643,4841059.612969453,Long,,
2024-04-13,CLOSE_Long,63821.47265625,76.75249390090113,4898.457190795357,4937219.905277371,Reverse to Short,101058.74949871346,96160.2923079181
2024-04-13,ENTRY_SHORT,63821.47265625,76.58625698831996,4887.847706224598,4932332.057571147,Short,,
2024-05-15,CLOSE_Short,66267.4921875,76.58625698831996,5075.1791866433605,4739925.39796574,Reverse to Long,-187331.48041876242,-192406.6596054058
2024-05-15,ENTRY_LONG,66267.4921875,70.81188662925184,4692.526143986082,4735232.871821755,Long,,
2024-06-11,CLOSE_Long,67332.03125,70.81188662925184,4767.908163392242,4805846.983064522,Reverse to Short,75382.01940616005,70614.1112427678
2024-06-11,ENTRY_SHORT,67332.03125,70.66159188883637,4757.788513233877,4801089.194551288,Short,,
2024-10-29,CLOSE_SHORT,72597.65712739393,70.66159188883637,5129.866020021583,4423881.821743561,Stop Loss: SL Short,-372077.50678770605,-377207.37280772766
2024-11-06,ENTRY_LONG,75639.078125,57.90185592014214,4379.6430035261255,4419502.178740035,Long,,
2024-12-05,CLOSE_Long,96593.5703125,57.90185592014214,5592.946991046494,5627213.219269358,Reverse to Short,1213303.987520369,1207711.0405293226
2024-12-05,ENTRY_SHORT,96593.5703125,57.67403636757113,5570.941087076664,5621642.278182281,Short,,
2024-12-16,CLOSE_SHORT,106363.08109865393,57.67403636757113,6134.388207450685,5052060.7696008105,Stop Loss: SL Short,-563447.1203740201,-569581.5085814708
2025-02-24,ENTRY_SHORT,91418.171875,54.710568580868404,5001.5401619048025,5047059.229438906,Short,,
2025-04-09,CLOSE_Short,82573.953125,54.710568580868404,4517.667925438725,5526413.797979544,Reverse to Long,483872.2364660772,479354.5685406385
2025-04-09,ENTRY_LONG,82573.953125,66.25757218765526,5471.149659999749,5520942.648319544,Long,,
2025-08-14,CLOSE_Long,118359.578125,66.25757218765526,7842.21829171761,7884169.061745687,Reverse to Short,2371068.6317178607,2363226.413426143
2025-08-14,ENTRY_SHORT,118359.578125,65.94588705685479,7805.327371128231,7876363.7343745595,Short,,
2025-08-19,CLOSE_Final,112831.1796875,65.94588705685479,7440.752232163563,8233498.121107063,End of Date Range,364575.13896466745,357134.3867325039
